Gender,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Reps,17-21,17-21,22-26,22-26,27-31,27-31,32-36,32-36,37-41,37-41,42-46,42-46,47-51,47-51,52-56,52-56,57-61,57-61,62+,62+
73,100,100,98,100,96,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100
74,100,100,99,100,97,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100
75,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
76,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
